clean_name,target_account_name
clothes,Opening Balance Equity
cardinvestment,Pension Income
paymentflight,Professional Equipment
txngym,Equipment Rental Income
hotel,Inventory / Stock
electronics,GST Input Credit
wifi,Clothing & Personal Care
onlineamazon,Healthcare & Medical
billpetrol,Insurance Premiums
paymentamazon,Loans Payable
shopping,Trade Payables
billinsurance,Senior Insurance Premiums
txnzomato,Electronics & Equipment
onlineschoolfees,Pension Income
cardmcdonalds,Cashbacks & Refunds
paymentpharmacy,Pilgrimage Travel
cardmutualfund,Bonuses & Incentives
tax,Legal & Professional Services
donation,Dividend Income
cardzomato,Travel & Holidays
paymentbonus,Allowances / Pocket Money
txnspotify,Legal & Professional Services
freelance,Employee Salaries
pizza,Internet & Phone
txnelectricity,Hostel & Mess Charges
txnrecharge,Rent / Housing Maintenance
paymentsalary,Service Revenue
cardclothes,Vehicle Maintenance & Tolls
paymentmcdonalds,Clothing & Personal Care
txngasbill,Payment Gateway Fees
collegefees,Digital Wallets
dominos,Livestock
billcollegefees,Subscriptions
txntax,Inventory / Stock
swiggy,Credit Cards
onlineshopping,Employee Salaries
txnconsulting,Opening Balance Equity
paymentmobile,Rent / Housing Maintenance
paymentinternet,Pilgrimage Travel
billmedical,Healthcare & Medical
train,Retainer Income
onlinepharmacy,Exam & Application Fees
billmaintenance,Accounts Receivable
electricity,Crop Loans
onlinegasbill,Electricity & Water
diesel,Crop Loans
billgasbill,Opening Balance Equity
txnrent,Accounts Receivable
paymentrepair,Professional Equipment
shopping,Salary
billburger,Entertainment & Media
